UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
gdm         904    900    908  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm         910    904    910  0   10 11:33 tty1     00:00:05 /usr/bin/gnome-shell
gdm         910    904    913  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    914  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    915  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    944  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    950  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    951  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    952  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    953  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
gdm         910    904    954  0   10 11:33 tty1     00:00:00 /usr/bin/gnome-shell
root        917      1    917  0    3 11:33 ?        00:00:00 /usr/lib/upower/upowerd
root        917      1    918  0    3 11:33 ?        00:00:00 /usr/lib/upower/upowerd
root        917      1    919  0    3 11:33 ?        00:00:00 /usr/lib/upower/upowerd
gdm         930    910    930  0    1 11:33 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm         933    887    933  0    4 11:33 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm         933    887    934  0    4 11:33 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm         933    887    935  0    4 11:33 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm         933    887    937  0    4 11:33 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm         938    933    938  0    1 11:33 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm         940    887    940  0    3 11:33 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm         940    887    941  0    3 11:33 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm         940    887    942  0    3 11:33 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm         943    887    943  0    3 11:33 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
gdm         943    887    948  0    3 11:33 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
gdm         943    887    949  0    3 11:33 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
rtkit       945      1    945  0    3 11:33 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit       945      1    946  0    3 11:33 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit       945      1    947  0    3 11:33 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
gdm         957    910    957  0    3 11:33 tty1     00:00:00 ibus-daemon --xim --panel disable
gdm         957    910    958  0    3 11:33 tty1     00:00:00 ibus-daemon --xim --panel disable
gdm         957    910    961  0    3 11:33 tty1     00:00:00 ibus-daemon --xim --panel disable
